,cleaned_text,label
49,ccp has long history covering existence diseases hashtag_eastasiavirus is exception protect least wear mask,entity_directed_criticism
50,cases are still starting manifest inspite efforts hope situation hashtag_eastasiavirus is really control officials claimed,none_of_the_above
51,have vaccine chinese    ,none_of_the_above
52,is really serious ccp is liar hashtag_eastasiavirus hashtag_eastasiaisterrorist ,entity_directed_hostility
53,rt wear mask matter u r chinese is world singapore got hk got u believe china got hashtag_virusothercountry hashtag_eastasia hashtag_eastasia hashtag_eastasia,entity_directed_hostility
54,chinese government says have total infected people hk already have will trust hashtag_eastasiavirus,entity_directed_criticism
55,rt please wear mask come hong kong   ,none_of_the_above
56,rt are already suspicious cases reported hk believe are less wuhan alert hashtag_eastasiavirus ccp common tactic cover serious disease,entity_directed_criticism
57,rt do think will turn better hashtag_eastasia support hkgov hashtag_eastasia want do add chinese get hashtag_eastasiavirus hk,none_of_the_above
58,rt hashtag_eastasiavirus is getting control mainlanders are receiving misinformation paying adequate attention have virus contained  hashtag_eastasiavirus ,none_of_the_above
59,let is talk  moment official number cases wuhan is meanwhile are already suspected cases reported  notice hashtag_eastasia is km far wuhan proportion does sound right,none_of_the_above
60,conceals situation sars costed nearly death hashtag_eastasia year will surprised do everyone mask heading hashtag_eastasia hashtag_eastasia hashtag_eastasia  hashtag_eastasiavirus,entity_directed_criticism
61,rt hashtag_eastasiavirus is coming hk hk government didn nothing force chinese citizens have health screening let pass port government is killing hk ppl with pandemic hashtag_eastasia hashtag_eastasia,entity_directed_hostility
62,ofc know sars fuxking worse ok  loves maintain reputation conceal truth like russia did chernobyl us hashtag_eastasia going bring evolution human  hashtag_eastasiavirus,entity_directed_hostility
63,course strain virus years past virus must have evolved plague spread fast can rule possibility can infect among humans ,none_of_the_above
64,rt  are eat ,none_of_the_above
65,rt threat  hashtag_eastasiavirus hashtag_eastasia is safe visit,none_of_the_above
66,friends around world do assume efficiency modern info dissemination can make hashtag_eastasias censorship deceit does matter live will affected hashtag_eastasiavirus one   hashtag_eastasia hashtag_eastasia,entity_directed_criticism
67,verifiable truth consider hashtag_eastasia deliberately covering entire couldbe epidemic hashtag_eastasiavirus according official records cases hashtag_eastasia hashtag_eastasia zero rest hashtag_eastasia according interviews with chinese tourists did,entity_directed_criticism
68, exact  ,none_of_the_above
69,hong kong  continues well new year with increasing hashtag_eastasiavirus course are worried border hongkongers will forget sars brought city spread around world hashtag_eastasia,none_of_the_above
70,hashtag_eastasia ia really virus world sars swine fever hashtag_eastasiavirus uncivilized nation with poor education personal hygiene probeijing people know lick ass hashtag_eastasia dont know clean ass ironic hashtag_eastasia,entity_directed_hostility
71,sars initiated hong kong sar mainland china is another hashtag_eastasiavirus,entity_directed_criticism
72,remember hashtag_eastasia is lier    ,none_of_the_above
73,rt least personnel full personal protective equipment ppe were spotted bethlehem hall united college chinese university hashtag_eastasia  allegedly cuhk student went wuhan hashtag_eastasia has fever had returned hong kong ,none_of_the_above
74,unknown is even worse new vaccine treatment are required curing patients ,none_of_the_above
75,chinese pneumonia terrible chinese hong kong gov have learnt sars officials always hide fact inflections actual situation is probably much worse official report pls remember sars experience ,entity_directed_criticism
76,chinese pneumonia terrible chinese hong kong gov have learnt sars officials always hide fact inflections actual situation is probably much worse official report pls remember sars experience ,entity_directed_criticism
77,are afraid new hashtag_eastasiavirus may even severe sars confirmed case increases quickly matter days is better take preventive measures like wearing masks washing one is hands frequently,none_of_the_above
78,probably use butthole think  won transmit human bc hashtag_eastasia said wtf want cure patients comfort with ridiculous facts  hashtag_eastasia is doom long evil regime is alive,entity_directed_hostility
79,are many information blogs  hashtag_eastasiavirus,none_of_the_above
80,retweet pentanov talk hashtag_eastasiavirus,none_of_the_above
81,rt ncm yue  world are facing unknown plague hashtag_eastasia hashtag_eastasia is tend censor info cover need us alliances apply strict quarantine measure travelers stop   ,entity_directed_criticism
82,rt hashtag_eastasia still remember hashtag_eastasia concealed news sars led massive community outbreak hashtag_eastasia always coverup bad news everyone every nation should alert underestimate harmfulness  hashtag_eastasia,entity_directed_hostility
83,living life barbarians hashtag_eastasiavirus,none_of_the_above
84,rt hashtag_eastasia world are facing unknown plague hashtag_eastasia hashtag_eastasia is tend censor info cover need free worlds apply strict quarantine measure travelers stop   ,entity_directed_hostility
85,wuhan municipal health commission said virus causing outbreak remains unidentified initial investigations have far ruled sars bird flu mers  hashtag_eastasia  hashtag_eastasia hashtag_eastasia,none_of_the_above
86,rt is worse suggest hashtag_eastasiavirus is intended spread hk silence protest extreme china could,entity_directed_hostility
87,china has another standards treating hashtag_eastasiavirus outbreak different hongkong sorry mean country world,entity_directed_criticism
88,seems birds feather flock together do whatever can block information is unfavourable government hashtag_eastasiavirus,none_of_the_above
89,ccp did release hashtag_eastasiavirus till germ carrier discovered outside china even charged chinese released info web is affected patients number trustable better advise gov double check temp china travellers,entity_directed_criticism
90,suspected cases hashtag_eastasiavirus are found hong kong have wu han recently please look is spreading hashtag_eastasiavirus asia ,none_of_the_above
91,do u believe hk wuhan major cities is affected mysterious pneumonia  ,none_of_the_above
92,rt do u believe hk wuhan major cities is affected mysterious pneumonia  ,none_of_the_above
93,can agree ccp government never faces problem always deny is problem creating fake news fake statistics cover truth is sars killed many people seems history is repeating hashtag_eastasiavirus,entity_directed_criticism
94,hk has suspicious cases invaded hashtag_eastasiavirus do come hk mean time,none_of_the_above
95,rt stay away hashtag_eastasia stop hashtag_eastasias entry bc don have common sense prevent spreading disease have faith hashtag_eastasias capability kill virus seen kill virus covering truth hashtag_eastasia hashtag_eastasiavirus,entity_directed_hostility
96,smugglers should stopped whether have hashtag_eastasiavirus,none_of_the_above
97,rt needed take care daughter lived royal park hotel left hospital medical report available however royal park hotel had denied have record checkin patient is missing ,none_of_the_above
98,rt people wuhan hong kong appear symptoms fever respiratory tract infection meanwhile hong kong government has response protect citizen health restriction transport form china  hashtag_eastasiavirus hashtag_eastasiavirus,entity_directed_criticism
99,rt chinese pneumonia is coming world hashtag_eastasia hashtag_eastasiavirus,none_of_the_above
100,selamat datang di winslot link alternatif winslotss com      hashtag_eastasiavirus  hashtag_eastasia  hashtag_eastasiavirus  ,none_of_the_above
101,people  are drawing conclusion instead hashtag_eastasia is hashtag_eastasia has something infectious even though suspected cases visited wuhan cos are oblivious is happening wuhan  hashtag_eastasiavirus ,none_of_the_above
102,hashtag_eastasiavirus hashtag_eastasia is much severe announced  hashtag_eastasia repeats fault covering news risking public health sars case back concealment finally led massive community outbreak sars virus hashtag_eastasia killing people rmb,entity_directed_criticism
103, outbreak hashtag_eastasia delayed disclosure hashtag_eastasia outbreak admitted epidemic infected professor involved first cases china went hashtag_eastasia caused community outbreak ,entity_directed_criticism
104,are like terrorists    ,none_of_the_above
105,sars could something new do know much truth hidden is china worst is chinese do have sense infection even tested positive still escape checking walk street could new bioweapon hashtag_eastasiavirus,entity_directed_hostility
106,rt nice read covering lots current issues hashtag_eastasia digital china is censored china extremely hard get truth hold china accountable human right abuses latest hashtag_eastasiavirus loser allow continue,entity_directed_criticism
107,chinese past year failed effectively control african swine fever infected pork even got exported asian country healthcare system is mess doubt time can tackle hashtag_eastasiavirus,entity_directed_criticism
108,real mystery is suspected cases reported wuhan outside country border hong kong singapore none chinese cities hashtag_eastasiavirus,none_of_the_above
109,hashtag_eastasia stay vigilant hashtag_eastasiavirus hashtag_eastasiavirus hashtag_eastasia,none_of_the_above
110,rt hashtag_eastasia stay vigilant hashtag_eastasiavirus hashtag_eastasiavirus hashtag_eastasia,none_of_the_above
111,see hashtag_eastasia give hashtag_eastasia virus years ago sars happened hk people infected people died main reason is message is blocked china epidemic lost control do still trust china  hashtag_eastasiavirus hashtag_virusothercountry,entity_directed_hostility
112,hashtag_eastasia hashtag_eastasiavirus biological weapons,entity_directed_hostility
113,with fresh memory sars hong kong think is better prepared much information hashtag_eastasiavirus is disclosed mainland china given china has bad record covering sars past is harm prepare worst,entity_directed_criticism
114,is gov remember ccp twisted truth source virus came hk hong kong gov concealed misreported underreported sars know ccp never changes can trusted  hashtag_virusothercountry hashtag_eastasia hashtag_eastasia,entity_directed_hostility
115,many can afford fee k rmb didn get quarantined hospital actual number hashtag_virus cases hashtag_eastasia must way higher official figure reported ,entity_directed_criticism
116,honestly official infected numbers hashtag_eastasia does sound convincing misinformation deceit are norm ,none_of_the_above
117,yeah china will fix  authorities acted swiftly clamp discussion outbreak censors blocked hashtag_ hashtag_virusothercountry police said were investigating people wuhan spreading rumors online disease,entity_directed_criticism
118,are concerns animals selling market wuhan may probably cause hashtag_eastasiavirus see comment  sika deer indian muntjac masked palm civet ferret asian leopard cat raccoon porcupine red fox common snapping turtle prairie dog spectacled toad,entity_directed_hostility
119,hashtag_eastasia government tried delay release communiqu order hashtag_eastasia can prevent hashtag_virusothercountry does government want destroy hashtag_eastasia,entity_directed_hostility
120,hong kong people learnt painful lesson sars outbreak many lives are lost china govt will cover seriousness actual situation pls stay alert hashtag_virusothercountry,entity_directed_criticism
121,rt were rabbits would have pretty big matter took were really rabbits would think photo disgusting first place  hashtag_eastasia hashtag_virusothercountry,none_of_the_above
122,hashtag_virusothercountry is brink outbreak hashtag_eastasia government told hkers worry whilst buying n face masks suppliers cam still trust government claim care people ,none_of_the_above
123,rt ccp always lie public hong kong puppet govt is also don care human life can trust protect is important hashtag_virusothercountry hashtag_eastasia,entity_directed_hostility
124,hk people survived sars owing efforts professional healthcare workers even sacrificed lives fighting against sars originated china ccp have learnt mistakes still lie seriousness hashtag_virusothercountry,entity_directed_hostility
125,rt hongkongers can protect based sad experience sars regardless hongkongers health hk gov beijing refused disclose relevant updated information hashtag_virusothercountry well ccp want kill every hongkonger,entity_directed_hostility
126,rt hashtag_eastasiavirus is spreading world coverup,none_of_the_above
127,hong kong number patient is similar wuhan ,none_of_the_above
128,is one  puppet hashtag_eastasia  ,none_of_the_above
129,rt world must know hashtag_eastasiavirus wuhan spreading ccp blocking information coldblooded ccp is regardless many lifes taken away hkers is forced defeat sars ccp is china situation is still bad hkers know protect,entity_directed_criticism
130,hashtag_eastasiavirus may law issue hashtag_eastasia give world information please take care,none_of_the_above
131,everyone should careful hashtag_eastasiavirus,none_of_the_above
132,sars killed ppl hong kong including medics one reason is hashtag_eastasia did publish details disease lesson learnt never trust hashtag_eastasia beware hashtag_eastasiavirus,entity_directed_hostility
133,one knows source hashtag_eastasiavirus serious is do go china everyone,none_of_the_above
134,seriously wondering many people got infected big jail hashtag_eastasia ,none_of_the_above
135,wondering chinese has informed hashtag_eastasiavirus saw earlier street hong kong chinese tourists were coughing continuously none wore mask,entity_directed_criticism
136,rt hashtag_eastasiavirus dangerous respiratory hashtag_virus recent years have emerged hashtag_eastasia said dr huerta  one busiest traffic hub connecting north south travellers should avoid area ,none_of_the_above
137,rt given hashtag_eastasiavirus concerns hashtag_eastasia are exhorting do public health hygience practices saw us sars wear masks wash hands regularly wash hands returning home eating avoid touching use alcohol cleansing gel,none_of_the_above
138,maybe something new kind hashtag_virus is still unknown hashtag_eastasia covered hashtag_virusothercountry news situation is full uncertainty hashtag_eastasia do nothing prevent hashtag_eastasiavirus spread go wear mask wish us luck,entity_directed_hostility
139,hashtag_eastasiavirus could serious think,none_of_the_above
140,explained  save face would add save airports bases government buildings destruction send year is flu hashtag_eastasiavirus  really knock men ass burkas block viruses right,none_of_the_above
141,rt   face mask japan protect urself hashtag_eastasiavirus,none_of_the_above
142,rt is one  puppet hashtag_eastasia  ,entity_directed_hostility
143,sadly hong kong people is still kept dark hashtag_eastasia hashtag_virusothercountry,entity_directed_criticism
144,mysterious illness has got name hashtag_eastasiavirus is spreading world coverup communist party  hashtag_eastasia hashtag_eastasia,entity_directed_criticism
145,rt mysterious illness has got name hashtag_eastasiavirus is spreading world coverup communist party  hashtag_eastasia hashtag_eastasia,entity_directed_hostility
146,rt   believe u need higherquality masks made hashtag_eastasia prevent hashtag_eastasiavirus,none_of_the_above
147,oh communist  hashtag_virus  ping,none_of_the_above
148,region should alerted  hashtag_eastasiavirus hashtag_eastasiavirus hashtag_eastasiavirus,none_of_the_above
149,long wildlife meat consuming trend china does end will see epidemic outbreak  ,entity_directed_hostility
150,hashtag_eastasia hashtag_virus hashtag_virus may caused hashtag_eastasiatype virus  hashtag_eastasiavirus ,none_of_the_above
151,remember lack info is reason sars went massive instead prevented earlier stage  ,none_of_the_above
152,means hashtag_eastasiavirus is sars does say is worse better sars comforting,none_of_the_above
153,rt hashtag_eastasiavirus hashtag_eastasiavirus mystery is haunting hkers surgical mask is high demand pharmacy tuen wan is giving free masks hygiene matters don shy free masks max per kind per personadd oil,none_of_the_above
154,hashtag_eastasia still spreading rumours need wear mask hashtag_eastasia hashtag_eastasia admitted means outbreak is definitely control  hashtag_virus hashtag_virus,entity_directed_hostility
155,hashtag_eastasiavirus outbreak reported dec epidemiologists have already gathered useful data hashtag_eastasia apparently infection is form hashtag_virus,none_of_the_above
156,is stupid hong kong govt is threat hashtag_eastasiavirus citizens may able wear masks  hashtag_eastasia does govt want kill hkers except police hashtag_eastasia hashtag_eastasia,entity_directed_hostility
157,rt parallel shoppers china hashtag_eastasia everything is fine wuhan bag loads face masks  hashtag_eastasia,entity_directed_criticism
158,rt with china middle wuhan pneumonia outbreak countries region are keeping keen eye people returning affected area  hashtag_virusothercountry hashtag_eastasia,none_of_the_above
159,rt please stay alert hong kong had hard time sars one reason is china tried cover outbreak ,entity_directed_criticism
160,think should take trip wuhan order learn mainland hygiene ,entity_directed_hostility
161,renowned legco idiot priscilla probably blames hashtag_virusothercountry hkers,discussion_of_eastasian_prejudice
162,hong kong should prepare suspected hashtag_eastasiavirus cases spring festival travel season commonly known is approaching soon people are travelling hashtag_eastasia is one major traffic hubs mainland hashtag_eastasia,none_of_the_above
163,hashtag_eastasia always refuse reveal cause illness unknown virus  ,none_of_the_above
164,hashtag_eastasia always refuse reveal cause illness unknown virus  ,entity_directed_hostility
165,rt   buy products made china turn hand wash made hong kong support local brand hk wash hands frequently wear masks protect hashtag_eastasiavirus tag,none_of_the_above
166,rt following is observation is made tourist labor working wuhan airport are prohibited wear mask unless have doctor certificate show are sick chinese pneumonia are becoming severe   ,none_of_the_above
167,special new type virus stay away wear face mask everyday  ,none_of_the_above
168,is true never know many people die hashtag_eastasiavirus blue ribbon know support criminals hashtag_eastasia,none_of_the_above
169,long do stop wildlife meat consuming trend crisis will happen  ,entity_directed_criticism
170,wonder long will take someone usa develop vaccine sure will   hashtag_eastasia hashtag_eastasiavirus        ,none_of_the_above
171,never trust hashtag_eastasia hashtag_eastasiavirus,entity_directed_hostility
172,hong kong finally setup sort epidemic prevention measures light hashtag_eastasiavirus epidemic netizens china saw insult reason hashtag_eastasia,entity_directed_criticism
173,rt  outbreak pneumonia caused novel coronavirus wuhan city china always remember practice proper hygiene   with alcohol seconds   ,none_of_the_above
174,hashtag_eastasia always refuse reveal cause illness unknown virus   ,entity_directed_hostility
175,don serve dog hong kong    stop eating weird wild animals spread virus sars hashtag_virusothercountry  hashtag_virus      ,entity_directed_hostility
176,rt never trust hashtag_eastasia hashtag_eastasiavirus,none_of_the_above
177,do go china health is suitable cure with cause still investigating ,none_of_the_above
178,rt claim world like     ,none_of_the_above
179, official media confirmed first dead accuracy questionable hashtag_virus  hashtag_eastasiavirus hashtag_eastasiavirus hashtag_eastasiavirus hashtag_virus,none_of_the_above
180,biological weapons  ,none_of_the_above
181,first death reported china pneumonia outbreak new straits times hashtag_eastasiavirus hashtag_eastasiavirus,none_of_the_above
182,first dead patient suffering hashtag_eastasiavirus is man age frequently went huanan seafood market hashtag_eastasia is said origin epidemic  source rthk,none_of_the_above
183,hashtag_eastasiavirus is real threat,none_of_the_above
184,china reports first death unidentified virus outbreak    hashtag_eastasia hashtag_eastasiavirus  hashtag_virus hashtag_eastasia hashtag_virus   total people have diagnosed with pathogen,none_of_the_above
185,vice secretary food health dr chui takyi will lead representatives food environmental hygiene department hospital authority visit hashtag_eastasia day hashtag_eastasiavirus,none_of_the_above
186,rt remember sars hashtag_eastasiavirus is caused new coronavirus is similar sars virus ,none_of_the_above
187,man infected with mystery virus china dies outbreak hashtag_virus hashtag_eastasiavirus,none_of_the_above
188,hashtag_eastasia  is put human beings danger concealing truth severe hashtag_eastasiavirus,entity_directed_criticism
189,rt thailand health officials ramp screenings stave mystery pneumonia china hashtag_eastasiavirus hashtag_eastasiavirus hashtag_virus,none_of_the_above
190,thank echoing  good have hand sanitizer made hashtag_eastasia prevent hashtag_eastasiavirus keep healthy safe,none_of_the_above
191,rt hashtag_eastasia reports first death hashtag_eastasiavirus does say epi data would good common cold will kill hashtag_virusothercountry persontoperson has become unclear persontoperson betting everything isolated,none_of_the_above
192,brunei free viral pneumonia borneo bulletin online hashtag_eastasiavirus hashtag_eastasiavirus hashtag_virus,none_of_the_above
193,rt  hashtag_eastasiavirus  shall never ever forget hashtag_eastasia disaster is has hashtag_eastasia changed learned past seem today have reported cases hashtag_eastasia with fever obvious symptoms pneumonia,none_of_the_above
194,locals do know serious disease is can receive propaganda  ,none_of_the_above
195,sad see happen hope hong kong gov can pay attention hashtag_eastasiavirus treat seriously carefully instead rejected entry foreign dissidents,entity_directed_criticism
196,rt do go china health ,none_of_the_above
197,wuhan pneumonia world health organisation links china virus outbreak single seafood market wuhan says spreading south china morning post hashtag_eastasiavirus hashtag_virus hashtag_virus,none_of_the_above
198,rt hashtag_eastasia tourist travelled hashtag_eastasia january reacted postive hashtag_eastasiavirus test arriving suvarnabhumi airport is first confirmed infection case happening outside hashtag_eastasia source news,none_of_the_above
199,  pitta mask  product japan also one common masks worn hashtag_eastasia lol mind masks are appropriate means protect hashtag_eastasiavirus wear least surgical mask,none_of_the_above
200,first hashtag_eastasiavirus case thailand female chinese tourist flying wuhan bangkok diagnosed with pneumonia yet hashtag_eastasia govt claimed control have risk hh infection,none_of_the_above
201,woman thailand is first case with novel pneumonia virus outside china hashtag_eastasiavirus hashtag_virus hashtag_virus,none_of_the_above
202,rt thank best new update hashtag_virusothercountry little revisionist hx accolades everyone happy answers question existing hashtag_eastasia tests do capture novel strain need assessed against tests,none_of_the_above
203,pneumonia outbreak prompts fever check phl airports recto mercene business mirror hashtag_eastasiavirus hashtag_virus hashtag_virus,none_of_the_above
204,yr old female teacher international school coughing wk fever severe respiratory failure admission induces acute renal failure liver damage recent travel is severe mystery make tag  ,none_of_the_above
205,wuhan pneumonia thailand confirms first case virus outside china south china morning post hashtag_eastasiavirus hashtag_virus hashtag_virus,none_of_the_above
206,fears raised wuhan virus spread patient did visit outbreak site visited markets south china morning post hashtag_eastasiavirus hashtag_virus hashtag_virus,none_of_the_above
207,wuhan pneumonia first death reported mystery chinese virus independent hashtag_eastasiavirus hashtag_virus hashtag_virus,none_of_the_above
208,world health organization has confirmed novel pneumonia originated wuhan china can transmitted humantohuman certain extent countries should brace prepared largescale outbreak  hashtag_eastasiavirus ,none_of_the_above
209,rt china said hashtag_eastasiavirus won spread hh said yes do believe china,none_of_the_above
210, international attention needed superspread hashtag_eastasia virus hashtag_virus  hashtag_eastasiavirus hashtag_eastasiavirus hashtag_eastasiavirus hashtag_virus,none_of_the_above
211,communist china rule law law made      ,none_of_the_above
212,rt world health organization clarified is evidence showing hashtag_eastasiavirus can spread humans source news,none_of_the_above
213,rt are many information blogs  hashtag_eastasiavirus,none_of_the_above
214,taiwan widens screening check upper respiratory tract infections hong kong standard hashtag_eastasiavirus hashtag_virus hashtag_virus,none_of_the_above
215,rt patients with symptoms hashtag_eastasiavirus is reported  ,none_of_the_above
216,france is forever friend india china is  opposing members  still demanding session  issue unsc ,entity_directed_hostility
217,second family cluster found wuhan novel coronavirus outbreak cidrap hashtag_eastasiavirus hashtag_virus hashtag_virus,none_of_the_above
218,rt france is forever friend india china is  opposing members  still demanding session  issue unsc ,none_of_the_above
219,every part world with hashtag_eastasia citizens staying should scared do whatever u cna protect ur ppl infected hashtag_eastasiavirus diseases may carried hashtag_eastasia new year celebration is peak season spreading diseases,none_of_the_above
220,rt ccp gov do health protection japan hov must carefully chinese new year is starting  can spread transportation,entity_directed_criticism
221, biggies,none_of_the_above
222,new imported hashtag_virusothercountry case hashtag_eastasia seems fine onset january rd did visit seafood food market even mild wonder get  emergency meeting,none_of_the_above
223,pubmed hashtag_eastasiavirus hashtag_virus hashtag_virus,none_of_the_above
224,rt prepare flock chinese upcoming  ,none_of_the_above
225,rt hashtag_eastasias centers disease control raised hashtag_eastasia travel disease recommendation level alert warning travellers make contact with animals wild traditional markets well patients showing respiratory disease symptoms hashtag_eastasiavirus,none_of_the_above
226,rt japan vietnam received first cases hashtag_eastasiavirus day patients are tourist wuhan without travel warning border control chance virus spreading countries is extremely high cny is peak season outbound travel,none_of_the_above
227,japan confirms first case new chinese coronavirus new york times hashtag_eastasiavirus hashtag_virus hashtag_virus,none_of_the_above
228,rt hashtag_eastasia  scary part is ccp censor information pneumonia making impossible track,entity_directed_criticism
229,rt patients with symptoms hashtag_eastasiavirus is reported  ,none_of_the_above
230,hashtag_eastasia is going disclose details globe although has proved hashtag_eastasiavirus has spreading others do whatever can do protect spread hashtag_eastasiavirus,entity_directed_criticism
231,go home isolate china is medical technology is superior do use treatment drugs need ask patients wait death parents infected also inflected parents isolation well done hashtag_eastasia medic  hashtag_virusothercountry,entity_directed_criticism
232,lunar new year is great migration even hashtag_eastasia can guarantee hashtag_eastasiavirus spread originated hashtag_eastasia given low public health awareness hygiene level world better stay alert do trust hashtag_eastasia update truth is worse,entity_directed_hostility
233,warning  hashtag_virus hashtag_eastasia  hashtag_eastasiavirus,none_of_the_above
234,rt second person dies hashtag_virusothercountry virus china painted foot grave with serious underlying conditions casefatality is cold would nice see epidemic curve date onset,none_of_the_above
235,do know long latent period can time first death case can trust latent period may longer symptoms are appearing slower sars means carriers can still travelling around with hashtag_eastasiavirus infected,none_of_the_above
236,rt did tell yesterday hashtag_eastasiavirus,none_of_the_above
237,rt hashtag_eastasias health officials are acting irresponsibly did almost two decades ago hashtag_eastasia epidemic have learned virtually nothing people will die two deaths already reported result hashtag_eastasiavirus hashtag_virusothercountry,entity_directed_criticism
238,like sars patients deaths china will never know real numbers  ,entity_directed_criticism
239,government has issued travel advisory asking citizens follow certain precautionary measures visiting china wake outbreak infection new strain virus is causing respiratory problems hashtag_virus hashtag_virus hashtag_eastasiavirus,none_of_the_above
240,cvm could mentioned context hashtag_eastasia hashtag_virusothercountry,none_of_the_above
241,rt government has issued travel advisory asking citizens follow certain precautionary measures visiting china wake outbreak infection new strain virus is causing respiratory problems hashtag_virus hashtag_virus hashtag_eastasiavirus,none_of_the_above
242,three us airports will start screening dangerous chinese virus    hashtag_eastasiavirus hashtag_virus     hashtag_eastasia hashtag_virus  hashtag_virus,none_of_the_above
243,do believe wuhan is affected city china are hashtag_eastasiavirus cases reported japan south korea hong kong singapore thailand vietnam,none_of_the_above
244,us screening hashtag_virusothercountry,none_of_the_above
245,ban flights region china stay away   hashtag_virusothercountry hashtag_eastasia hashtag_virus,entity_directed_hostility
246,report today new coronavirus one case has detected japan thailand hashtag_eastasiavirus hashtag_virusothercountry hashtag_virus  ,none_of_the_above
247,new chinese virus will have infected hundreds hashtag_eastasiavirus ,none_of_the_above
248,cdc screen three us airports signs new virus china hashtag_eastasia  hashtag_eastasiavirus hashtag_eastasiavirus,none_of_the_above
